City,Temperature,Humidity,Wind (in mph),Condition,Date,Time
Paris,13.3,58,13.4,Light rain,2025-10-24,21:47:14
Mumbai,27.0,89,4.7,Patchy light rain with thunder,2025-10-24,21:47:15
Delhi,8.5,72,15.0,Partly Cloudy,2025-10-24,21:47:16
Bangalore,22.1,78,6.7,Partly cloudy,2025-10-24,21:47:17
New York,12.2,50,9.8,Sunny,2025-10-24,21:47:18
